texto;tipo
"Ao relatar suas vivências, o autor destaca o(a)";"pergunta"
"O texto aborda relações interpessoais com o objetivo de";"pergunta"
"O termo “downsides” introduz a ideia de que o Instagram é responsável por";"pergunta"
"Nesse poema, o eu lírico evidencia um sentimento de";"pergunta"
"Nesse texto de opinião, as marcas linguísticas revelam uma situação distensa e de pouca";"pergunta"
"Os dois textos abordam a temática de animais de rua, porém, em relação ao Texto I, o";"pergunta"
"Ao divulgar a adaptação do jogo para questões relativas a ações e habilidades de";"pergunta"
"Para convencer o público-alvo sobre a necessidade de um trânsito mais seguro, essa";"pergunta"
"Segundo os autores citados no texto, a expansão de possibilidades no campo das";"pergunta"
"O texto revela que, quando a sociedade promove o desenvolvimento de uma nova";"pergunta"
"Nesse texto, o uso da norma-padrão defendido por um dos personagens torna-se";"pergunta"
"Ao analisarem a correlação entre os hábitos e o perfil socioeconômico dos usuários da";"pergunta"
"O Texto II exemplifica o que se afirma no Texto I, na medida em que defende a ideia de";"pergunta"
"Considerando-se a função social dos posts, essa imagem evidencia a apropriação de";"pergunta"
"O texto é exemplar de um gênero discursivo que cumpre a função social de";"pergunta"
"Esse texto, que simula um verbete para a palavra “palavra’’, constitui-se como um poema";"pergunta"
"Nesse texto, a violência no futebol está caracterizada como um(a)";"pergunta"
"Com base na pesquisa e em uma visão ampliada de saúde, para a prática regular de";"pergunta"
"Nesse artigo de opinião, ao fazer uso de uma fala rebuscada no exemplo da compra do";"pergunta"
"O discurso da jornalista traz questionamentos sobre a relação da conquista da skatista";"pergunta"
"A articulação entre os elementos verbais e os não verbais do texto tem como propósito";"pergunta"
"O movimento de recuperação da língua patxôhã assume um caráter identitário peculiar na";"pergunta"
"O texto sobre os chamados nativos digitais traz informações com a função de";"pergunta"
"O recurso linguístico que permite a Machado de Assis considerar um capítulo de";"pergunta"
"A história da prática do mountainboard representa uma das principais marcas das";"pergunta"
"Essa notícia, além de cumprir sua função informativa, assume o papel de";"pergunta"
"Associada ao ideário de uma “vida perfeita”, a positividade tóxica mencionada no texto é";"pergunta"
"Produzida no início do século XVII, a obra maneirista distingue-se pela";"pergunta"
"Pela ótica do narrador, a trajetória da empregada de sua casa assume um efeito";"pergunta"
"No texto, há uma crítica ao modo de ocupação do espaço amazônico pautada na";"pergunta"
"Qual mudança estrutural é resultado da forma de organização econômica descrita no";"pergunta"
"O registro das atividades descritas associa a inserção da figura feminina nos espaços de";"pergunta"
"A atuação dos trabalhadores mencionados no texto representou, na capital do Império,";"pergunta"
"As atividades agrícolas, desenvolvidas na região mencionada, intensificam o problema";"pergunta"
"A crítica contida no texto e na figura evidencia o seguinte aspecto da sociedade";"pergunta"
"As práticas religiosas mencionadas nos textos estão associadas, respectivamente, à:";"pergunta"
"Contrariando a visão prevalente sobre o impacto tecnológico nas relações humanas, o";"pergunta"
"A consequência da mudança tecnológica apresentada no texto é a";"pergunta"
"A necessidade de negociação diplomática para viabilizar o acordo tarifário mencionado é";"pergunta"
"Na conjuntura histórica destacada no texto, o dever de agir em face da situação de crise";"pergunta"
"A interação dinâmica entre as forças naturais citadas favorece a ocupação do espaço";"pergunta"
"O ápice da ilustração se traduz por uma conduta social caracterizada pela";"pergunta"
"Os discursos expressam pontos de vista divergentes respectivamente pela oposição entre";"pergunta"
"O texto apresenta uma estratégia usada pelo movimento social para";"pergunta"
"Considerando a dinâmica geopolítica subjacente ao texto, a justificativa utilizada por";"pergunta"
"Considerando o conceito apresentado no Texto I e os dados apresentados no Texto II, no";"pergunta"
"Nas sociedades contemporâneas, consiste em violação do princípio básico enunciado no";"pergunta"
"A pesquisa desenvolvida retrata a seguinte dinâmica populacional:";"pergunta"
"Pelo descrito no texto, o povo Kambeba tem o rio como um(a)";"pergunta"
"Na construção do empreendimento descrito, destaca-se a presença de";"pergunta"
"De acordo com o texto, a importância da medicina se justifica no âmbito dos objetivos";"pergunta"
"Considerando-se que a distância entre o local onde os destroços do avião foram";"pergunta"
"Ao descrever-se como patrimônio museológico, o objeto abordado no texto associa a sua";"pergunta"
"Com base nos trechos do decreto, as finalidades do órgão criado permitiram ao governo";"pergunta"
"O mapa espacializa um recurso natural com alto potencial para ocorrência de:";"pergunta"
"Em situações como a apresentada no texto, as pessoas ao nascerem já se encontram na";"pergunta"
"De que modo os textos sustentam a existência de um saber ancorado na sensibilidade?";"pergunta"
"BLANCO, R. Disponível em: http://edition.cnn.com. Acesso em: 9 dez. 2017 (adaptado).";"bibliografia"
"GALER, S. Disponível em: www.bbc.com. Acesso em: 8 dez. 2017 (adaptado).";"bibliografia"
"GAULD, T. Disponível em: www.tomgauld.com. Acesso em: 25 out. 2021.";"bibliografia"
"Disponível em: https://cyberbullying.org. Acesso em: 29 out. 2021.";"bibliografia"
"DUFFY, C. Disponível em: www.independent.co.uk. Acesso em: 27 out. 2021.";"bibliografia"
"MEDEIROS, M. Disponível em: http://porumavidasimples.blogspot.com.br. Acesso em: 20 ago. 2017 (adaptado).";"bibliografia"
"COSTA, A. R. N. Viver o amor aos cães: Parque Francisco de Assis. Carmo do Cachoeira: Irdin, 2014 (adaptado).";"bibliografia"
"Disponível em: www.super.abril.com.br. Acesso em: 4 dez. 2018 (adaptado).";"bibliografia"
"Disponível em: www.portaldapropaganda.com.br. Acesso em: 29 out. 2013 (adaptado).";"bibliografia"
"SILVA JR., M. G. Movidas pela dúvida. Minas faz Ciências, n. 52, dez.-fev. 2013 (adaptado).";"bibliografia"
"ECO, U.; CARRIÈRE, J.-C. Não contem com o fim do livro. Rio de Janeiro: Record, 2010 (adaptado).";"bibliografia"
"VERISSIMO, L. F. Comédias para se ler na escola. Rio de Janeiro: Objetiva, 2001 (adaptado).";"bibliografia"
"2019 (adaptado).";"bibliografia"
"Disponível em: https://brasil.elpais.com. Acesso em: 22 maio 2018.";"bibliografia"
"Disponível em: www.facebook.com/senadofederal. Acesso em: 9 dez. 2017.";"bibliografia"
"VANUCHI, C. Época, 19 out. 2012 (adaptado).";"bibliografia"
"FALCÃO, A. Pequeno dicionário de palavras ao vento. São Paulo: Salamandra, 2013 (adaptado).";"bibliografia"
"Disponível em: https://brasil.elpais.com. Acesso em: 22 jun. 2019 (adaptado).";"bibliografia"
"Disponível em: www.esporte.gov.br. Acesso em: 9 ago. 2017 (adaptado).";"bibliografia"
"KIFFER, D. Comunicação sem barreiras. Rio Pesquisa, n. 37, dez. 2016 (adaptado).";"bibliografia"
"ARAÚJO, H. Disponível em: www.diariojurista.com. Acesso em: 20 nov. 2021 (adaptado).";"bibliografia"
"Disponível em: www.cnnbrasil.com.br. Acesso em: 31 out. 2021 (adaptado).";"bibliografia"
"Disponível em: https://viva-porto.pt. Acesso em: 24 nov. 2021 (adaptado).";"bibliografia"
"Disponível em: https://brasil.elpais.com. Acesso em: 11 jun. 2019 (adaptado).";"bibliografia"
"Disponível em: https://tab.uol.com.br. Acesso em: 25 ago. 2017 (adaptado).";"bibliografia"
"Acesso em: 25 jul. 2022.";"bibliografia"
"Disponível em: www.webventure.com.br. Acesso em: 19 jun. 2019.";"bibliografia"
"Disponível em: https://revistaencontro.com.br. Acesso em: 11 dez. 2017.";"bibliografia"
"Disponível em: https://agenciabrasil.ebc.com.br. Acesso em: 21 nov. 2021 (adaptado).";"bibliografia"
"KAY, A. In: FARTHING, S. (Org.). Tudo sobre arte. Rio de Janeiro: Sextante, 2011 (adaptado).";"bibliografia"
"DEMPSEY, A. Estilos, escolas e movimentos. São Paulo: Cosac & Naify, 2003 (adaptado).";"bibliografia"
"PRATA, A. Nu de botas. São Paulo: Cia. das Letras, 2013 (adaptado).";"bibliografia"
"Disponível em: www.bienal.org.br. Acesso em: 1 set. 2016 (adaptado).";"bibliografia"
"Disponível em: https://s3.amazonaws.com. Acesso em: 17 jun. 2022 (adaptado).";"bibliografia"
"PAZ, A. D. Disponível em: www.ct.ufpb.br. Acesso em: 15 out. 2021 (adaptado).";"bibliografia"
"FOOT HARDMAN, F. Trem fantasma: modernidade na selva. São Paulo: Cia. das Letras, 1988 (adaptado).";"bibliografia"
"sociedade e cultura. São Paulo: Paz e Terra, 1999 (adaptado).";"bibliografia"
"Revista Temas em Educação, n. 24, 2015 (adaptado).";"bibliografia"
"entre o Império e a República. Estudos Históricos, n. 59, set.-dez. 2016 (adaptado).";"bibliografia"
"LEPSCH, I. F. Solos: formação e conservação. São Paulo: Melhoramentos, 1993 (adaptado).";"bibliografia"
"ASSIS, A. E. S. Q. Educação e pandemia. Educação em Revista, n. 37, 2021 (adaptado).";"bibliografia"
"NOBRE, E. Incêndios da alma. Rio de Janeiro: Multifoco, 2016 (adaptado).";"bibliografia"
"MOROZOV, E. Big Tech: a ascensão dos dados e a morte da política. São Paulo: Ubu, 2018 (adaptado).";"bibliografia"
"GAGLIONI, C. Disponível em: www.nexojornal.com.br. Acesso em: 25 out. 2021.";"bibliografia"
"Disponível em: https://oglobo.globo.com. Acesso em: 8 out. 2021 (adaptado).";"bibliografia"
"Varia Historia, n. 60, set.-dez. 2016 (adaptado).";"bibliografia"
"PRESS, F. et al. Para entender a Terra. Porto Alegre: Bookman, 2006 (adaptado).";"bibliografia"
"Disponível em: https://ndmais.com.br. Acesso em: 8 out. 2021.";"bibliografia"
"WESTIN, R. Senado Notícias. Disponível em: www12.senado.leg.br. Acesso em: 20 out. 2021 (adaptado).";"bibliografia"
"PUTTI, A. Disponível em: www.cartacapital.com.br. Acesso em: 13 nov. 2021 (adaptado).";"bibliografia"
"Disponível em: http://g1.globo.com. Acesso em: 28 jul. 2014.";"bibliografia"
"Disponível em: www.agenciadenoticias.ibge.gov.br. Acesso em: 2 dez. 2018.";"bibliografia"
"CANOTILHO, J. J. G. Estado de direito. Lisboa: Gradiva, 1999 (adaptado).";"bibliografia"
"Disponível em: www.portaldotransito.com.br. Acesso em: 23 nov. 2021 (adaptado).";"bibliografia"
"Disponível em: www.uol.com.br. Acesso em: 14 out. 2021.";"bibliografia"
"VALLE, F. M. História do Açude Itans, município de Caicó (RN). Brasília, 1994 (adaptado).";"bibliografia"
"Saúde – Manguinhos, n. 3, jul.-set. 2007 (adaptado).";"bibliografia"
"Disponível em: http://imguol.com. Acesso em: 30 mar. 2014 (adaptado).";"bibliografia"
"Revista Brasileira de Pesquisa (Auto)Biográfica, n. 14, maio-ago. 2020 (adaptado).";"bibliografia"
"BRASIL apud CARONE, E. A Terceira República (1937-1945). São Paulo: Difel, 1982 (adaptado).";"bibliografia"
"Geoestatísticas de recursos naturais da Amazônia Legal. Rio de Janeiro: IBGE, 2011 (adaptado).";"bibliografia"
"Disponível em: https://agenciabrasil.ebc.com.br. Acesso em: 7 nov. 2021.";"bibliografia"
"DELEUZE, G. Cinema 1: a imagem-movimento. São Paulo: Brasiliense, 1983 (adaptado).";"bibliografia"
"PALMA, R. Anais da Inquisição de Lima. São Paulo: Edusp; Giordano, 1992 (adaptado).";"bibliografia"
"SILVA JR., M. G. Movidas pela dúvida. Minas faz Ciências, n. 52, dez.-fev. 2013 (adaptado)";"bibliografia"
"ECO, U.; CARRIÈRE, J.-C. Não contem com o fim do livro. Rio de Janeiro: Record, 2010 (adaptado)";"bibliografia"
"FIORIN, J. L. Língua, modernidade e tradição. Diversitas, n. 2, mar.-set. 2014";"bibliografia"
"TORRES, F. Fim. São Paulo: Cia. das Letras, 2013";"bibliografia"
"KIFFER, D. Inclusão ampla e irrestrita. Rio Pesquisa, n. 36, set. 2016 (adaptado)";"bibliografia"
"PENNA, C. Fronteira. Rio de Janeiro: Tecnoprint, s/d";"bibliografia"
"BUARQUE, C. As cidades. Rio de Janeiro: RCA, 1998 (fragmento).";"bibliografia"
"ASSIS, M. Obra completa. Rio de Janeiro: Nova Aguilar, 1994";"bibliografia"
"PAIVA, M. O. Dona Guidinha do Poço.Rio de Janeiro: Tecnoprint, s/d";"bibliografia"
"ALMEIDA, J. A. A bagaceira. Rio de Janeiro: J. Olympio, 1978";"bibliografia"
"ASSIS, M. Memórias póstumas de Brás Cubas. Disponível em: www.dominiopublico.gov.br.\nAcesso em: 25 jul. 2022";"bibliografia"
"LISPECTOR, C. In: A descoberta do mundo. Rio de Janeiro: Rocco, 1999";"bibliografia"
"KAY, A. In: FARTHING, S. (Org.). Tudo sobre arte. Rio de Janeiro: Sextante, 2011 (adaptado)";"bibliografia"
